category,n_eligible,median_coverage,median_within_store_cv,median_store_presence,total_units
COLD CEREAL,12,0.9987348178137652,0.10436393,1.0,2492596.0
FROZEN PIZZA,8,0.9717442645074224,0.122576304,1.0,597313.0
BAG SNACKS,8,0.9323549257759784,0.084821925,1.0,1072028.0
ORAL HYGIENE PRODUCTS,8,0.8609986504723347,0.119049296,1.0,213033.0
