product_code,category,brand,style,product_size_raw,size_value,size_unit,n_obs,positive_obs,n_stores,global_unique_prices,mean_price,std_price,total_units,promo_rate,coverage,positive_rate,global_price_cv,store_presence,median_within_store_cv,share_stores_with_variation
1111009477,BAG SNACKS,PRIVATE LABEL,PRETZELS,15 OZ,15.0,OZ,5894,5894,76,63,1.2560824,0.19577909,331186.0,0.43909060061079064,0.9942645074224021,1.0,0.15586483,1.0,0.08958059,1.0
1111009497,BAG SNACKS,PRIVATE LABEL,PRETZELS,15 OZ,15.0,OZ,5912,5912,76,66,1.2576421,0.19572479,289107.0,0.44265899864682,0.9973009446693657,1.0,0.15562835,1.0,0.08896963,1.0
1111009507,BAG SNACKS,PRIVATE LABEL,PRETZELS,15 OZ,15.0,OZ,5437,5437,76,74,1.2702446,0.19205579,134039.0,0.356078719882288,0.9171727395411606,1.0,0.15119591,1.0,0.08896889,1.0
1111035398,ORAL HYGIENE PRODUCTS,PRIVATE LABEL,MOUTHWASHES (ANTISEPTIC),1.5 LT,1.5,LT,4369,4369,73,122,3.3440406,0.6527658,11767.0,0.23392080567635615,0.7370107962213225,1.0,0.19520271,0.9605263157894737,0.20767047,1.0
1111038078,ORAL HYGIENE PRODUCTS,PRIVATE LABEL,MOUTHWASHES (ANTISEPTIC),500 ML,500.0,ML,5579,5579,76,142,1.5580835,0.4968357,41666.0,0.4454203262233375,0.9411268556005398,1.0,0.31887618,1.0,0.33934957,1.0
1111038080,ORAL HYGIENE PRODUCTS,PRIVATE LABEL,MOUTHWASHES (ANTISEPTIC),500 ML,500.0,ML,5381,5381,76,143,1.5467695,0.4900215,38156.0,0.4311466270209998,0.9077260458839406,1.0,0.3168032,1.0,0.3275759,1.0
1111085319,COLD CEREAL,PRIVATE LABEL,ALL FAMILY CEREAL,12.25 OZ,12.25,OZ,5919,5919,76,57,1.7631812,0.111797355,126689.0,0.2321338063862139,0.9984817813765182,1.0,0.06340662,1.0,0.06223763,1.0
1111085345,COLD CEREAL,PRIVATE LABEL,ADULT CEREAL,20 OZ,20.0,OZ,5926,5926,76,48,1.7597082,0.109148294,187608.0,0.24569692878839014,0.9996626180836707,1.0,0.06202636,1.0,0.06089318,1.0
1111085350,COLD CEREAL,PRIVATE LABEL,ALL FAMILY CEREAL,18 OZ,18.0,OZ,5919,5919,76,73,2.1504748,0.17960036,224415.0,0.32032437911809425,0.9984817813765182,1.0,0.083516605,1.0,0.08230856,1.0
1111087395,FROZEN PIZZA,PRIVATE LABEL,PIZZA/PREMIUM,32.7 OZ,32.7,OZ,5720,5720,76,235,3.6202762,0.61472076,74013.0,0.2145104895104895,0.9649122807017544,1.0,0.1697994,1.0,0.058186006,1.0
1111087396,FROZEN PIZZA,PRIVATE LABEL,PIZZA/PREMIUM,30.5 OZ,30.5,OZ,5705,5705,76,232,3.6105487,0.60123116,75783.0,0.221034180543383,0.9623819163292847,1.0,0.16652071,1.0,0.0566049,1.0
1111087398,FROZEN PIZZA,PRIVATE LABEL,PIZZA/PREMIUM,29.6 OZ,29.6,OZ,5850,5850,76,224,3.630607,0.5976786,95910.0,0.21487179487179486,0.9868421052631579,1.0,0.16462223,1.0,0.049544092,1.0
1600027527,COLD CEREAL,GENERAL MI,ALL FAMILY CEREAL,12.25 OZ,12.25,OZ,5926,5926,76,155,2.8369522,0.3868197,381461.0,0.19017887276409046,0.9996626180836707,1.0,0.13635044,1.0,0.13548245,1.0
1600027528,COLD CEREAL,GENERAL MI,ALL FAMILY CEREAL,18 OZ,18.0,OZ,5924,5924,76,181,4.1872554,0.5854808,186901.0,0.1174881836596894,0.9993252361673415,1.0,0.13982448,1.0,0.13321277,1.0
1600027564,COLD CEREAL,GENERAL MI,ALL FAMILY CEREAL,12 OZ,12.0,OZ,5927,5927,76,235,2.694024,0.44283438,241590.0,0.4862493673021765,0.9998313090418354,1.0,0.16437654,1.0,0.1575115,1.0
2066200530,FROZEN PIZZA,KING,PIZZA/PREMIUM,13.2 OZ,13.2,OZ,770,770,59,15,6.3728957,0.23050134,2997.0,0.0025974025974025974,0.12989203778677463,1.0,0.03616901,0.7763157894736842,0.037850372,0.0847457627118644
2066200531,FROZEN PIZZA,KING,PIZZA/PREMIUM,13.3 OZ,13.3,OZ,562,562,44,9,6.3543057,0.22105798,2276.0,0.0035587188612099642,0.09480431848852902,1.0,0.03478869,0.5789473684210527,0.0396668,0.045454545454545456
2066200532,FROZEN PIZZA,KING,PIZZA/PREMIUM,14.7 OZ,14.7,OZ,348,348,26,9,6.4793673,0.06188351,957.0,0.0028735632183908046,0.058704453441295545,1.0,0.009550856,0.34210526315789475,0.0015926718,0.0
2840002333,BAG SNACKS,FRITO LAY,PRETZELS,10 OZ,10.0,OZ,4717,4717,69,37,2.8280985,0.16731875,42284.0,0.0449438202247191,0.7957152496626181,1.0,0.05916298,0.9078947368421053,0.05313399,0.7681159420289855
2840004768,BAG SNACKS,FRITO LAY,PRETZELS,16 OZ,16.0,OZ,5707,5707,76,37,2.8256774,0.166019,79391.0,0.06763623620115647,0.9627192982456141,1.0,0.058753695,1.0,0.06404391,0.868421052631579
2840004770,BAG SNACKS,FRITO LAY,PRETZELS,16 OZ,16.0,OZ,5617,5617,76,36,2.8251219,0.16644996,59141.0,0.0678298023856151,0.9475371120107963,1.0,0.058917798,1.0,0.063744694,0.8157894736842105
3000006340,COLD CEREAL,QUAKER,ALL FAMILY CEREAL,13 OZ,13.0,OZ,5766,5766,76,126,2.6952446,0.32903883,91703.0,0.2223378425251474,0.9726720647773279,1.0,0.12208125,1.0,0.11844446,1.0
3000006560,COLD CEREAL,QUAKER,KIDS CEREAL,13 OZ,13.0,OZ,5926,5926,76,70,2.498245,0.20866215,184173.0,0.18731015862301723,0.9996626180836707,1.0,0.0835235,1.0,0.083370574,1.0
3000006610,COLD CEREAL,QUAKER,KIDS CEREAL,14 OZ,14.0,OZ,5914,5914,76,78,2.492905,0.2139994,121260.0,0.20899560365235034,0.997638326585695,1.0,0.08584339,1.0,0.08371883,1.0
31254742725,ORAL HYGIENE PRODUCTS,WARNER,MOUTHWASHES (ANTISEPTIC),500 ML,500.0,ML,5001,5001,75,77,4.101556,0.5499323,19630.0,0.22435512897420515,0.8436234817813765,1.0,0.13407895,0.9868421052631579,0.12512316,0.9866666666666667
31254742735,ORAL HYGIENE PRODUCTS,WARNER,MOUTHWASHES (ANTISEPTIC),1 LT,1.0,LT,5271,5269,76,146,4.710624,0.55424577,26296.0,0.39783722253841775,0.8891700404858299,0.9996205653576171,0.11765867,1.0,0.111957386,1.0
31254742835,ORAL HYGIENE PRODUCTS,WARNER,MOUTHWASHES (ANTISEPTIC),1 LT,1.0,LT,5015,5014,75,136,4.7130694,0.5593949,23149.0,0.37666999002991025,0.8459851551956815,0.9998005982053838,0.11869015,0.9868421052631579,0.112975426,1.0
3500068914,ORAL HYGIENE PRODUCTS,COLGATE,MOUTHWASH/RINSES AND SPRAYS,16 CT,16.0,CT,1061,1061,73,16,7.8118944,0.6365916,1385.0,0.09048067860508954,0.17898110661268557,1.0,0.08149004,0.9605263157894737,0.04031814,0.2054794520547945
3700019521,ORAL HYGIENE PRODUCTS,P & G,MOUTHWASH/RINSES AND SPRAYS,4.2 OZ,4.2,OZ,4755,4754,75,118,2.9101808,0.49659112,23623.0,0.5722397476340694,0.8021255060728745,0.9997896950578339,0.17063926,0.9868421052631579,0.16886327,1.0
3700031613,ORAL HYGIENE PRODUCTS,P & G,MOUTHWASH/RINSES AND SPRAYS,1 LT,1.0,LT,5094,5094,76,105,4.1618924,0.38830268,18943.0,0.25206124852767964,0.8593117408906883,1.0,0.093299545,1.0,0.07888803,0.9868421052631579
