category_id,category,n_products,median_coverage,median_price_cv,median_n_stores,total_units
27,beer,134,0.7478476821192053,0.07764016,20.0,11868859.0
26,imported_beer,21,0.5963576158940397,0.109724656,20.0,471085.03
