product_code,category_id,category,brand,style,size,product_description,n_obs,n_stores,n_weeks,total_units,unique_prices,mean_price,std_price,promo_rate,price_cv,coverage_rate
7199010005,27,beer,COORS,REGULAR,661 OZ,COORS REG BEER PARTY,110,16,63,240.44165,7,12.301881,1.468043,0.23636363636363636,0.11933484,0.03642384105960265
7199010006,27,beer,COORS,REGULAR,6/12 O,COORS REGULAR LONGNE,2041,20,150,18211.852,18,1.7294677,0.19118,0.24105830475257226,0.110542685,0.6758278145695364
7199011600,27,beer,COORS,UNKNOWN_STYLE,24/12O,COORS BEER,2599,20,150,99455.07,29,1.3097148,0.083910234,0.4193920738745671,0.064067565,0.8605960264900663
7199030001,27,beer,COORS,LIGHT,32 OZ,COORS LIGHT BEER,943,13,150,1828.354,4,1.8296273,0.09902836,0.0,0.05412488,0.3122516556291391
7199030004,27,beer,COORS,LIGHT,661 OZ,COORS LIGHT BEER PAR,117,15,71,275.62823,5,12.578371,1.4747926,0.19658119658119658,0.1172483,0.038741721854304634
7199030005,27,beer,COORS,LIGHT,6/12 O,COORS LIGHT LONGNECK,2520,20,150,30957.807,32,1.752267,0.18301207,0.20277777777777778,0.10444303,0.8344370860927153
7199031600,27,beer,COORS,LIGHT,24/12O,COORS LIGHT BEER,2773,20,150,179431.36,48,1.313807,0.08363602,0.4114677244861161,0.06365929,0.9182119205298013
7199036400,27,beer,COORS,LIGHT,12/12O,COORS LIGHT BEER N.R,32,2,32,212.92941,3,1.6934625,0.054251876,0.0,0.032036066,0.010596026490066225
7199047006,27,beer,KEYSTONE,REGULAR,24/12O,KEYSTONE REGULAR BEE,1383,19,150,25534.496,19,0.99662274,0.072553694,0.4121475054229935,0.072799556,0.45794701986754965
7199047506,27,beer,KEYSTONE,UNKNOWN_STYLE,24/12O,KEYSTONE DRY BEER,116,8,72,1413.8513,5,0.9952819,0.07114312,0.5603448275862069,0.07148037,0.038410596026490065
7199048006,27,beer,KEYSTONE,LIGHT,24/12O,KEYSTONE LIGHT BEER,1649,18,150,38923.496,21,0.9956654,0.069213174,0.37780473013947846,0.06951449,0.5460264900662252
7199070002,27,beer,KILLIANS,AMBER_ALE,6/12 O,KILLIAN'S IRISH RED,2373,20,137,53815.78,50,2.3639274,0.2397232,0.47113358617783396,0.10140887,0.7857615894039736
7199076400,27,beer,KILLIANS,UNKNOWN_STYLE,12/12O,KILLIAN'S RED NR 12O,70,6,27,698.40845,2,2.332427,0.117522925,0.0,0.05038654,0.023178807947019868
7199077005,28,nonalcoholic_beer,COORS,UNKNOWN_STYLE,6/12 O,COORS CUTTER NON-ALC,2236,20,132,23873.646,14,1.7124323,0.17503229,0.3667262969588551,0.102212675,0.7403973509933774
7199077603,27,beer,ZIMA,UNKNOWN_STYLE,6/12 O,ZIMA CLEARMALT L.N.N,171,20,9,13318.734,11,2.2619374,0.11092283,0.3508771929824561,0.049038857,0.05662251655629139
7199090002,27,beer,COORS,UNKNOWN_STYLE,24/12O,COORS EXTRA GOLD BEE,1202,18,150,24844.604,17,1.2998621,0.08369382,0.42845257903494177,0.06438669,0.3980132450331126
7199090014,27,beer,COORS,UNKNOWN_STYLE,6/12 O,COORS EXTRA GOLD BEE,772,13,150,3336.6038,7,1.7804351,0.06772091,0.0,0.03803616,0.2556291390728477
7199091200,27,beer,COORS,UNKNOWN_STYLE,6/12 O,COORS EXTRA GOLD BEE,550,14,144,1728.9867,9,1.7331413,0.06870933,0.0,0.03964439,0.18211920529801323
7199091400,27,beer,COORS,UNKNOWN_STYLE,12/12O,COORS EXTRA GOLD BEE,895,17,149,10740.159,16,1.4762021,0.20117643,0.45027932960893857,0.13627973,0.29635761589403975
7204000002,27,beer,STROHS,LIGHT,6/12 O,STROHS LIGHT BEER,1811,20,149,8191.394,18,1.4208211,0.053892225,0.0,0.03793034,0.5996688741721854
7204000006,27,beer,STROHS,UNKNOWN_STYLE,32 OZ,STROHS BEER N.R.BTLS,785,13,150,2099.011,7,1.6670184,0.05030441,0.0,0.030176276,0.2599337748344371
7204000007,27,beer,STROHS,UNKNOWN_STYLE,6/16 O,STROHS BEER,93,2,76,437.2151,4,1.5339634,0.112616904,0.0,0.07341564,0.030794701986754967
7204000009,27,beer,STROHS,UNKNOWN_STYLE,6/12 O,STROHS BEER,2262,20,150,17519.832,21,1.4207135,0.0547757,0.0,0.038555063,0.7490066225165563
7204001110,27,beer,STROHS,UNKNOWN_STYLE,8/12 O,STROH'S BEER,311,13,32,3301.8254,8,1.1248904,0.044211745,0.0,0.039303157,0.10298013245033112
7204001111,27,beer,STROHS,UNKNOWN_STYLE,15/120,STROHS BEER,6,3,5,69.20206,3,1.1096166,0.138218,0.3333333333333333,0.12456374,0.001986754966887417
7204001112,27,beer,STROHS,LIGHT,8/12 O,STROH'S LIGHT,212,13,32,1328.6796,7,1.1246128,0.045330904,0.0,0.04030801,0.07019867549668875
7204001113,27,beer,STROHS,UNKNOWN_STYLE,15/120,STROHS BEER,2969,20,150,182837.16,44,1.0691812,0.08215572,0.3267093297406534,0.07683985,0.983112582781457
7204001122,27,beer,STROHS,REGULAR,6/12 O,STROHS REG LONGNECK,2484,20,150,24497.53,29,1.4146949,0.07332399,0.045491143317230275,0.051830247,0.8225165562913908
7204001123,27,beer,STROHS,LIGHT,6/12 O,STROHS LIGHT LONGNEC,1671,20,150,8191.394,15,1.4102385,0.07774981,0.05685218432076601,0.055132385,0.5533112582781456
7204001151,27,beer,STROHS,UNKNOWN_STYLE,8/7OZ,STROHS BEER N.R.BTLS,101,4,57,301.41342,3,1.8783585,0.03655756,0.0,0.019462503,0.033443708609271525
7204004441,27,beer,STROHS,LIGHT,15/120,STROHS LIGHT BEER,16,7,7,186.31323,3,1.0548375,0.11423596,0.4375,0.108297214,0.005298013245033113
7204004443,27,beer,STROHS,LIGHT,15/120,STROHS LIGHT BEER,2811,20,150,96760.445,34,1.0671389,0.082729645,0.3265741728922092,0.07752472,0.930794701986755
7204031232,27,beer,STROHS,UNKNOWN_STYLE,30/12O,STROH'S,369,20,22,16640.434,12,1.0138735,0.04565028,0.4010840108401084,0.04502562,0.12218543046357616
7204031310,27,beer,STROHS,UNKNOWN_STYLE,24/12O,STROHS BEER,2347,20,150,140857.06,26,1.15474,0.090702154,0.4098849595227951,0.07854769,0.7771523178807948
7204031313,27,beer,STROHS,LIGHT,30/12O,STROH'S DRAFT LIGHT,1,1,1,10.646471,1,1.0323,,0.0,,0.00033112582781456954
7204061321,27,beer,STROHS,LIGHT,24/12O,STROHS LIGHT BEER,2023,20,146,59977.957,12,1.1471827,0.089857064,0.4369747899159664,0.07832847,0.6698675496688742
7204061328,27,beer,STROHS,LIGHT,30/12O,STROHS LIGHT BEER,331,20,49,8730.105,14,1.009046,0.05263455,0.40483383685800606,0.05216269,0.10960264900662252
7231111201,26,imported_beer,WHITBREAD,UNKNOWN_STYLE,4/12 O,WHITBREAD ALE NR BTL,6,2,6,17.034353,1,3.5152,0.0,0.0,0.0,0.001986754966887417
7231113001,26,imported_beer,PILSNER_URQUELL,PILSNER,6/12 O,PILSNER URQUELL NR B,35,10,31,83.042465,2,3.36734,0.07003443,0.0,0.020798145,0.011589403973509934
7231113003,26,imported_beer,FOSTERS,LAGER,25 OZ,FOSTER'S LAGER,75,3,68,177.44116,2,3.064936,0.1108321,0.0,0.03616131,0.024834437086092714
7231163001,26,imported_beer,PILSNER_URQUELL,PILSNER,6/12 O,PILSNER URQUELL NR B,394,12,149,1667.2372,2,3.3875809,0.061597276,0.0,0.018183263,0.1304635761589404
7231163006,26,imported_beer,FOSTERS,LAGER,6/12 O,FOSTERS LAGER 6PK NR,20,8,19,53.23235,2,2.935215,0.08400907,0.0,0.028621098,0.006622516556291391
7231163009,26,imported_beer,MOOSEHEAD,UNKNOWN_STYLE,6/12 O,MOOSEHEAD BEER NR BT,2692,20,150,38966.082,19,2.369066,0.26620838,0.3350668647845468,0.112368494,0.8913907284768212
7231163011,26,imported_beer,DOS_EQUIS,UNKNOWN_STYLE,6/12 O,DOS EQUIS BEER,2072,20,150,11715.376,9,2.702708,0.16890861,0.05791505791505792,0.062496062,0.686092715231788
7231163012,26,imported_beer,DOS_EQUIS,UNKNOWN_STYLE,6/12 O,DOS EQUIS BEER,139,8,94,674.9862,6,2.72121,0.20577607,0.09352517985611511,0.075619325,0.04602649006622517
7231163018,26,imported_beer,MACKESON_BT,STOUT,4/12 O,MACKESON STOUT NR BT,13,2,13,19.873407,1,3.5152,0.0,0.0,0.0,0.004304635761589404
7231163029,28,nonalcoholic_beer,CLAUSTHALER,IMPORT,6/12 O,CLAUSTHALER GERMAN N,1721,20,138,10282.361,15,2.7463033,0.18458642,0.12550842533410808,0.067212686,0.5698675496688742
7231163050,26,imported_beer,MOOSEHEAD,LIGHT,6/12 O,MOOSEHEAD LIGHT NR B,1274,19,150,6541.1914,6,2.2722018,0.27696207,0.47017268445839877,0.1218915,0.42185430463576157
7231193040,26,imported_beer,MOOSEHEAD,UNKNOWN_STYLE,12/12O,MOOSEHEAD BEER NR BT,683,13,150,5825.7485,2,2.168411,0.100990005,0.03074670571010249,0.046573278,0.226158940397351
